split,cell_id,method,instances,verified_instances,candidate_coverage,mean_score_verified,median_runtime_s,status_counts
train,medium_balanced,assignment_beam_sequence_v1,48,48,1.0,38.14665667902043,2.337122127501061,"{""feasible"": 48}"
train,medium_balanced,order_aware_lns_v2,48,48,1.0,37.285725836559244,0.46623317900230177,"{""feasible"": 48}"
train,medium_precedence,assignment_beam_sequence_v1,48,46,0.9583333333333334,42.88300425036418,3.061307450494496,"{""feasible"": 46, ""schedule_infeasible"": 2}"
train,medium_precedence,order_aware_lns_v2,48,45,0.9375,44.28723357807209,0.518071429542033,"{""feasible"": 45, ""schedule_infeasible"": 3}"
train,medium_resource,assignment_beam_sequence_v1,48,48,1.0,54.43058119357053,5.989475920010591,"{""feasible"": 48}"
train,medium_resource,order_aware_lns_v2,48,48,1.0,54.88259768734017,0.7252637245110236,"{""feasible"": 48}"
train,small_sparse,assignment_beam_sequence_v1,48,48,1.0,28.766086169668764,0.3208399649884086,"{""feasible"": 48}"
train,small_sparse,order_aware_lns_v2,48,48,1.0,29.953166697144553,0.20060868602013215,"{""feasible"": 48}"
validation,medium_balanced,assignment_beam_sequence_v1,12,12,1.0,42.98767564331877,3.296712215000298,"{""feasible"": 12}"
validation,medium_balanced,order_aware_lns_v2,12,12,1.0,43.5866925584717,0.519093924027402,"{""feasible"": 12}"
validation,medium_precedence,assignment_beam_sequence_v1,12,10,0.8333333333333334,44.540504361502606,4.624821574485395,"{""feasible"": 10, ""schedule_infeasible"": 2}"
validation,medium_precedence,order_aware_lns_v2,12,11,0.9166666666666666,50.353074964279564,0.6164173654979095,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_resource,assignment_beam_sequence_v1,12,12,1.0,52.48734598170481,5.480959629494464,"{""feasible"": 12}"
validation,medium_resource,order_aware_lns_v2,12,12,1.0,56.32608931371388,0.7201102070102934,"{""feasible"": 12}"
validation,small_sparse,assignment_beam_sequence_v1,12,12,1.0,26.6070998902948,0.24915336348931305,"{""feasible"": 12}"
validation,small_sparse,order_aware_lns_v2,12,12,1.0,28.351391358254585,0.18005147151416168,"{""feasible"": 12}"
