split,cell_id,method,instances,verified_instances,candidate_coverage,mean_score_verified,median_runtime_s,status_counts
train,medium_balanced,beam_alns_v1,48,48,1.0,40.900847567993,1.2533533645328134,"{""feasible"": 48}"
train,medium_balanced,hybrid_load_balanced_v2,48,48,1.0,48.167592455966506,0.012676213518716395,"{""feasible"": 48}"
train,medium_balanced,order_aware_lns_v2,48,48,1.0,37.285725836559244,0.46808477203012444,"{""feasible"": 48}"
train,medium_precedence,beam_alns_v1,48,47,0.9791666666666666,45.71257793351296,1.653257025493076,"{""feasible"": 47, ""schedule_infeasible"": 1}"
train,medium_precedence,hybrid_load_balanced_v2,48,42,0.875,62.51142714087128,0.015236011997330934,"{""feasible"": 42, ""schedule_infeasible"": 6}"
train,medium_precedence,order_aware_lns_v2,48,45,0.9375,44.28723357807209,0.5141920925234444,"{""feasible"": 45, ""schedule_infeasible"": 3}"
train,medium_resource,beam_alns_v1,48,48,1.0,57.004450709852456,3.147324507503072,"{""feasible"": 48}"
train,medium_resource,hybrid_load_balanced_v2,48,48,1.0,71.80940623627207,0.01784282849985175,"{""feasible"": 48}"
train,medium_resource,order_aware_lns_v2,48,48,1.0,54.88259768734017,0.7267707785067614,"{""feasible"": 48}"
train,small_sparse,beam_alns_v1,48,48,1.0,29.939343232291844,0.19237884448375553,"{""feasible"": 48}"
train,small_sparse,hybrid_load_balanced_v2,48,48,1.0,35.17957879723477,0.005229567002970725,"{""feasible"": 48}"
train,small_sparse,order_aware_lns_v2,48,48,1.0,29.953166697144553,0.20248814398655668,"{""feasible"": 48}"
validation,medium_balanced,beam_alns_v1,12,12,1.0,45.046484364597795,1.7745696064957883,"{""feasible"": 12}"
validation,medium_balanced,hybrid_load_balanced_v2,12,12,1.0,53.318805574894014,0.013790921017061919,"{""feasible"": 12}"
validation,medium_balanced,order_aware_lns_v2,12,12,1.0,43.5866925584717,0.5159624710213393,"{""feasible"": 12}"
validation,medium_precedence,beam_alns_v1,12,11,0.9166666666666666,49.54792549122099,2.39252561450121,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_precedence,hybrid_load_balanced_v2,12,10,0.8333333333333334,57.948248033171055,0.01698225349537097,"{""feasible"": 10, ""schedule_infeasible"": 2}"
validation,medium_precedence,order_aware_lns_v2,12,11,0.9166666666666666,50.353074964279564,0.6078525210323278,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_resource,beam_alns_v1,12,12,1.0,54.57084579682205,2.9106079275079537,"{""feasible"": 12}"
validation,medium_resource,hybrid_load_balanced_v2,12,12,1.0,83.12978793462148,0.01969932799693197,"{""feasible"": 12}"
validation,medium_resource,order_aware_lns_v2,12,12,1.0,56.32608931371388,0.703265043994179,"{""feasible"": 12}"
validation,small_sparse,beam_alns_v1,12,12,1.0,27.73947259419218,0.13771621652995236,"{""feasible"": 12}"
validation,small_sparse,hybrid_load_balanced_v2,12,12,1.0,32.385810612095305,0.004761204501846805,"{""feasible"": 12}"
validation,small_sparse,order_aware_lns_v2,12,12,1.0,28.351391358254585,0.17702204702072777,"{""feasible"": 12}"
