split,cell_id,method,instances,verified_instances,candidate_coverage,mean_score_verified,median_runtime_s,status_counts
train,medium_balanced,hybrid_assignment_milp_v2,48,48,1.0,47.938859332325485,0.19417776848422363,"{""optimal"": 48}"
train,medium_balanced,hybrid_load_balanced_v2,48,48,1.0,49.628629610224095,0.012649948475882411,"{""feasible"": 48}"
train,medium_balanced,load_balanced_v1,48,48,1.0,49.628629610224095,0.011562908999621868,"{""feasible"": 48}"
train,medium_balanced,order_aware_lns_v2,48,48,1.0,37.87543616481751,0.4898598385043442,"{""feasible"": 48}"
train,medium_precedence,hybrid_assignment_milp_v2,48,46,0.9583333333333334,61.59921614176432,0.39541311748325825,"{""feasible_limit"": 1, ""optimal"": 45, ""schedule_infeasible"": 2}"
train,medium_precedence,hybrid_load_balanced_v2,48,46,0.9583333333333334,64.76833397507355,0.015897350502200425,"{""feasible"": 46, ""schedule_infeasible"": 2}"
train,medium_precedence,load_balanced_v1,48,42,0.875,58.233492859929875,0.014159056969219819,"{""feasible"": 42, ""schedule_infeasible"": 6}"
train,medium_precedence,order_aware_lns_v2,48,46,0.9583333333333334,48.163693855906935,0.5678082524973433,"{""feasible"": 46, ""schedule_infeasible"": 2}"
train,medium_resource,hybrid_assignment_milp_v2,48,45,0.9375,59.31076548057603,0.356765770498896,"{""feasible_limit"": 1, ""optimal"": 44, ""schedule_infeasible"": 3}"
train,medium_resource,hybrid_load_balanced_v2,48,46,0.9583333333333334,59.33016494161578,0.015980552998371422,"{""feasible"": 46, ""schedule_infeasible"": 2}"
train,medium_resource,load_balanced_v1,48,40,0.8333333333333334,55.129434538007516,0.01347566649201326,"{""feasible"": 40, ""schedule_infeasible"": 8}"
train,medium_resource,order_aware_lns_v2,48,47,0.9791666666666666,46.9332599410376,0.5502279645006638,"{""feasible"": 47, ""schedule_infeasible"": 1}"
train,small_sparse,hybrid_assignment_milp_v2,48,48,1.0,34.25982144071934,0.02154190550209023,"{""optimal"": 48}"
train,small_sparse,hybrid_load_balanced_v2,48,48,1.0,37.079883199362776,0.005315571499522775,"{""feasible"": 48}"
train,small_sparse,load_balanced_v1,48,48,1.0,37.1296247693396,0.004964321531588212,"{""feasible"": 48}"
train,small_sparse,order_aware_lns_v2,48,48,1.0,30.575792153465628,0.2351623995054979,"{""feasible"": 48}"
validation,medium_balanced,hybrid_assignment_milp_v2,12,12,1.0,52.67010671700168,0.2940786205290351,"{""optimal"": 12}"
validation,medium_balanced,hybrid_load_balanced_v2,12,12,1.0,53.50147210039506,0.014476562500931323,"{""feasible"": 12}"
validation,medium_balanced,load_balanced_v1,12,12,1.0,53.50147210039506,0.013126587960869074,"{""feasible"": 12}"
validation,medium_balanced,order_aware_lns_v2,12,12,1.0,42.86505532894151,0.5306810480251443,"{""feasible"": 12}"
validation,medium_precedence,hybrid_assignment_milp_v2,12,11,0.9166666666666666,66.46292320409697,0.4823924440133851,"{""optimal"": 11, ""schedule_infeasible"": 1}"
validation,medium_precedence,hybrid_load_balanced_v2,12,11,0.9166666666666666,71.61739548138914,0.017186401528306305,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_precedence,load_balanced_v1,12,10,0.8333333333333334,62.01896406028381,0.016123237001011148,"{""feasible"": 10, ""schedule_infeasible"": 2}"
validation,medium_precedence,order_aware_lns_v2,12,11,0.9166666666666666,48.02515117900255,0.5951151225017384,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_resource,hybrid_assignment_milp_v2,12,12,1.0,80.3110202227419,0.675258233997738,"{""feasible_limit"": 1, ""optimal"": 11}"
validation,medium_resource,hybrid_load_balanced_v2,12,12,1.0,82.53669412170166,0.018811504531186074,"{""feasible"": 12}"
validation,medium_resource,load_balanced_v1,12,10,0.8333333333333334,64.9605167520584,0.016247346007730812,"{""feasible"": 10, ""schedule_infeasible"": 2}"
validation,medium_resource,order_aware_lns_v2,12,12,1.0,60.73667690305032,0.7612097400124185,"{""feasible"": 12}"
validation,small_sparse,hybrid_assignment_milp_v2,12,12,1.0,30.394111165856767,0.014679390500532463,"{""optimal"": 12}"
validation,small_sparse,hybrid_load_balanced_v2,12,12,1.0,31.205442521766404,0.004233005020068958,"{""feasible"": 12}"
validation,small_sparse,load_balanced_v1,12,12,1.0,31.545718309325398,0.004011160519439727,"{""feasible"": 12}"
validation,small_sparse,order_aware_lns_v2,12,12,1.0,28.613327565340175,0.18392304453300312,"{""feasible"": 12}"
