variant,cell_id,seeds,seed_coverages,mean_coverage,std_coverage,mean_pair_accuracy,mean_rollout_completion,conditional_score,decoder_dead_ends
edge_mlp_static,dense_precedence,3,"{""101"": 0.375, ""211"": 0.375, ""307"": 0.5}",0.4166666666666667,0.05892556509887896,,1.0,102.5163378374221,0
edge_mlp_static,iid_medium,3,"{""101"": 0.625, ""211"": 0.625, ""307"": 0.625}",0.625,0.0,,1.0,86.12462446483669,0
edge_mlp_static,iid_small,3,"{""101"": 1.0, ""211"": 1.0, ""307"": 1.0}",1.0,0.0,,1.0,35.87915968377418,0
edge_mlp_static,resource_bottleneck,3,"{""101"": 0.625, ""211"": 0.75, ""307"": 0.625}",0.6666666666666666,0.05892556509887896,,1.0,122.69150345484913,0
edge_mlp_static,scale,3,"{""101"": 0.0, ""211"": 0.0, ""307"": 0.0}",0.0,0.0,,1.0,,0
edge_mlp_static,tight_windows,3,"{""101"": 0.25, ""211"": 0.25, ""307"": 0.25}",0.25,0.0,,1.0,94.30634571891001,0
graph_transformer_pair_pointer,dense_precedence,3,"{""101"": 0.875, ""211"": 0.875, ""307"": 1.0}",0.9166666666666666,0.05892556509887896,0.2213333333333333,1.0,93.3017455148685,0
graph_transformer_pair_pointer,iid_medium,3,"{""101"": 0.875, ""211"": 0.75, ""307"": 1.0}",0.875,0.10206207261596575,0.2714570858283433,1.0,91.14741473607218,0
graph_transformer_pair_pointer,iid_small,3,"{""101"": 1.0, ""211"": 1.0, ""307"": 1.0}",1.0,0.0,0.38955823293172687,1.0,40.868404853015214,0
graph_transformer_pair_pointer,resource_bottleneck,3,"{""101"": 0.75, ""211"": 0.75, ""307"": 0.875}",0.7916666666666666,0.05892556509887896,0.23085585585585586,1.0,123.05904907804667,0
graph_transformer_pair_pointer,scale,3,"{""101"": 0.25, ""211"": 0.375, ""307"": 0.375}",0.3333333333333333,0.05892556509887896,0.1090047393364929,1.0,152.0616244018629,0
graph_transformer_pair_pointer,tight_windows,3,"{""101"": 0.375, ""211"": 0.375, ""307"": 0.375}",0.375,0.0,0.2434301521438451,1.0,93.2959104299274,0
graph_transformer_static,dense_precedence,3,"{""101"": 0.5, ""211"": 0.25, ""307"": 0.5}",0.4166666666666667,0.11785113019775792,,1.0,105.02932419105707,0
graph_transformer_static,iid_medium,3,"{""101"": 0.5, ""211"": 0.625, ""307"": 0.5}",0.5416666666666666,0.05892556509887896,,1.0,101.39396751528913,0
graph_transformer_static,iid_small,3,"{""101"": 1.0, ""211"": 1.0, ""307"": 1.0}",1.0,0.0,,1.0,39.747989087988465,0
graph_transformer_static,resource_bottleneck,3,"{""101"": 0.625, ""211"": 0.75, ""307"": 0.75}",0.7083333333333334,0.05892556509887896,,1.0,131.67727529735535,0
graph_transformer_static,scale,3,"{""101"": 0.0, ""211"": 0.0, ""307"": 0.0}",0.0,0.0,,1.0,,0
graph_transformer_static,tight_windows,3,"{""101"": 0.25, ""211"": 0.125, ""307"": 0.25}",0.20833333333333334,0.05892556509887896,,1.0,89.58681413467399,0
hetero_gnn_pair_pointer,dense_precedence,3,"{""101"": 0.875, ""211"": 1.0, ""307"": 0.75}",0.875,0.10206207261596575,0.22,1.0,92.90357204983836,0
hetero_gnn_pair_pointer,iid_medium,3,"{""101"": 1.0, ""211"": 1.0, ""307"": 1.0}",1.0,0.0,0.23952095808383234,1.0,81.53422120629737,0
hetero_gnn_pair_pointer,iid_small,3,"{""101"": 1.0, ""211"": 1.0, ""307"": 1.0}",1.0,0.0,0.357429718875502,1.0,37.28391335296923,0
hetero_gnn_pair_pointer,resource_bottleneck,3,"{""101"": 0.875, ""211"": 0.875, ""307"": 0.875}",0.875,0.0,0.23423423423423426,1.0,121.96573551709541,0
hetero_gnn_pair_pointer,scale,3,"{""101"": 0.625, ""211"": 0.375, ""307"": 0.625}",0.5416666666666666,0.11785113019775792,0.13112164296998421,1.0,145.83639829661755,0
hetero_gnn_pair_pointer,tight_windows,3,"{""101"": 0.375, ""211"": 0.5, ""307"": 0.375}",0.4166666666666667,0.05892556509887896,0.2849239280774551,1.0,94.63421928835153,0
hetero_gnn_static,dense_precedence,3,"{""101"": 0.375, ""211"": 0.25, ""307"": 0.375}",0.3333333333333333,0.05892556509887896,,1.0,122.2120846341652,0
hetero_gnn_static,iid_medium,3,"{""101"": 0.625, ""211"": 0.75, ""307"": 0.625}",0.6666666666666666,0.05892556509887896,,1.0,94.43188272788984,0
hetero_gnn_static,iid_small,3,"{""101"": 1.0, ""211"": 1.0, ""307"": 1.0}",1.0,0.0,,1.0,37.29733774747425,0
hetero_gnn_static,resource_bottleneck,3,"{""101"": 0.625, ""211"": 0.75, ""307"": 0.5}",0.625,0.10206207261596575,,1.0,132.02654035972017,0
hetero_gnn_static,scale,3,"{""101"": 0.0, ""211"": 0.375, ""307"": 0.0}",0.125,0.1767766952966369,,1.0,,0
hetero_gnn_static,tight_windows,3,"{""101"": 0.25, ""211"": 0.25, ""307"": 0.375}",0.2916666666666667,0.05892556509887896,,1.0,93.05228604304712,0
