family,cell_id,seeds,mean_verified_coverage,min_verified_coverage,mean_assignment_accuracy,mean_verified_score
edge_mlp,medium_balanced,3,1.0,1.0,0.5856807511737089,89.96496044210936
edge_mlp,medium_precedence,3,0.8611111111111112,0.8333333333333334,0.607843137254902,109.67829683843797
edge_mlp,medium_resource,3,0.9722222222222222,0.9166666666666666,0.5497435897435898,108.70926405640016
edge_mlp,small_sparse,3,1.0,1.0,0.7837837837837838,41.690608925325144
graph_transformer,medium_balanced,3,0.9722222222222222,0.9166666666666666,0.5786384976525821,91.07460207797976
graph_transformer,medium_precedence,3,0.6388888888888888,0.5833333333333334,0.6150670794633643,116.74994908646836
graph_transformer,medium_resource,3,0.9444444444444443,0.9166666666666666,0.56,111.03054946589731
graph_transformer,small_sparse,3,1.0,1.0,0.7777777777777778,41.893129062090146
hetero_gnn,medium_balanced,3,1.0,1.0,0.5915492957746479,91.71390624470867
hetero_gnn,medium_precedence,3,0.6666666666666666,0.5833333333333334,0.6140350877192983,112.84204962029473
hetero_gnn,medium_resource,3,0.9166666666666666,0.9166666666666666,0.5651282051282052,115.48952116602133
hetero_gnn,small_sparse,3,1.0,1.0,0.7897897897897898,41.83566825746039
