cell_id,method,coverage,rows
dense_precedence,pair_pointer,0.4791666666666667,48
dense_precedence,matched_static,0.5833333333333334,48
dense_precedence,hybrid_load_balanced,0.75,16
dense_precedence,hybrid_assignment_milp,0.25,16
dense_precedence,cold_start,0.5625,16
iid_medium,pair_pointer,1.0,48
iid_medium,matched_static,1.0,48
iid_medium,hybrid_load_balanced,1.0,16
iid_medium,hybrid_assignment_milp,1.0,16
iid_medium,cold_start,1.0,16
iid_small,pair_pointer,1.0,48
iid_small,matched_static,1.0,48
iid_small,hybrid_load_balanced,1.0,16
iid_small,hybrid_assignment_milp,1.0,16
iid_small,cold_start,1.0,16
resource_bottleneck,pair_pointer,0.7083333333333334,48
resource_bottleneck,matched_static,0.6666666666666666,48
resource_bottleneck,hybrid_load_balanced,0.625,16
resource_bottleneck,hybrid_assignment_milp,0.5,16
resource_bottleneck,cold_start,0.5625,16
scale,pair_pointer,0.0,48
scale,matched_static,0.0625,48
scale,hybrid_load_balanced,0.1875,16
scale,hybrid_assignment_milp,0.125,16
scale,cold_start,0.125,16
tight_windows,pair_pointer,0.5833333333333334,48
tight_windows,matched_static,0.5,48
tight_windows,hybrid_load_balanced,0.625,16
tight_windows,hybrid_assignment_milp,0.5,16
tight_windows,cold_start,0.5,16
