method,failure_reason,count
cold_start,precedence_failure,20
cold_start,repair_timeout,10
cold_start,time_window_failure,6
cold_start,verified,60
hybrid_assignment_milp,initializer_timeout,32
hybrid_assignment_milp,precedence_failure,2
hybrid_assignment_milp,repair_timeout,3
hybrid_assignment_milp,time_window_failure,5
hybrid_assignment_milp,verified,54
hybrid_load_balanced,precedence_failure,11
hybrid_load_balanced,repair_timeout,11
hybrid_load_balanced,time_window_failure,7
hybrid_load_balanced,verified,67
matched_static,precedence_failure,54
matched_static,repair_timeout,35
matched_static,time_window_failure,16
matched_static,verified,183
pair_pointer,initializer_timeout,42
pair_pointer,precedence_failure,40
pair_pointer,repair_timeout,18
pair_pointer,time_window_failure,7
pair_pointer,verified,181
